# Dataset: Wind tunnel HEPA + prefilter test

# Columns:
# time      — elapsed time since test start [s]
# dp1       — differential pressure across HEPA filter [Pa]
# dp2       — differential pressure across prefilter [Pa]
# velocity  — face velocity at the filters [m/s]

time,dp1,dp2,velocity
0,68.8,33.0,0.759
0,68.0,33.8,0.772
0,68.6,32.1,0.718
2,68.4,32.3,0.709
4,69.0,32.8,0.721
6,69.0,33.2,0.721
8,68.7,33.2,0.711
10,68.4,33.3,0.708
12,68.5,32.9,0.706
14,68.4,33.6,0.708
16,68.2,33.3,0.706
18,68.3,33.4,0.712
20,68.4,33.7,0.705
22,68.4,33.9,0.717
24,68.2,33.8,0.702
26,68.5,33.5,0.713
28,68.5,34.1,0.717
30,68.4,34.5,0.715
32,68.8,34.7,0.703
34,69.0,34.8,0.719
36,69.0,34.6,0.712
38,68.8,34.8,0.725
40,68.2,34.8,0.702
42,67.9,34.4,0.698
44,67.9,34.8,0.702
46,68.0,34.8,0.699
48,68.5,35.2,0.715
50,68.5,35.4,0.710
52,68.3,35.5,0.699
54,67.9,35.0,0.715
56,68.0,35.2,0.717
58,68.2,35.4,0.707
60,68.7,35.9,0.709
62,69.1,36.3,0.727
64,68.9,36.3,0.715
66,69.0,36.4,0.730
68,69.2,36.7,0.735
70,69.0,36.8,0.726
72,69.1,36.9,0.735
74,69.1,36.7,0.704
76,69.2,37.2,0.720
78,69.3,37.1,0.718
80,68.9,37.4,0.701
82,69.2,37.4,0.718
84,69.2,37.3,0.734
86,68.7,37.3,0.711
88,68.6,37.6,0.702
90,68.9,37.8,0.712
92,68.9,37.8,0.714
94,68.9,38.0,0.711
96,68.9,37.8,0.712
98,68.7,38.2,0.718
100,68.7,38.0,0.691
102,68.6,38.4,0.715
104,68.6,38.1,0.722
106,68.5,38.3,0.712
108,69.4,38.9,0.730
110,69.4,39.0,0.734
112,68.4,38.5,0.721
114,68.3,38.4,0.715
116,68.3,38.6,0.721
118,68.4,38.6,0.713
120,68.3,38.8,0.714
122,68.5,39.2,0.731
124,68.5,39.2,0.714
126,68.5,39.4,0.717
128,68.8,39.5,0.724
130,69.1,39.6,0.717
132,69.3,39.8,0.736
134,69.7,40.0,0.733
