# Dataset: Wind tunnel HEPA + prefilter test

# Columns:
# time      — elapsed time since test start [s]
# dp1       — differential pressure across HEPA filter [Pa]
# dp2       — differential pressure across prefilter [Pa]
# velocity  — face velocity at the filters [m/s]

time,dp1,dp2,velocity
0,53.3,26.8,0.730
2,53.5,27.8,0.751
4,53.3,28.0,0.736
6,53.2,28.5,0.724
8,53.2,28.6,0.727
10,52.9,28.7,0.721
12,52.3,29.1,0.717
14,52.2,29.5,0.729
16,52.2,29.4,0.704
18,52.5,29.8,0.703
20,53.0,30.6,0.708
22,53.4,31.1,0.732
24,53.3,31.8,0.728
26,53.0,31.7,0.697
28,53.0,32.4,0.722
30,52.6,32.3,0.715
32,52.8,32.7,0.718
34,52.3,32.8,0.715
36,52.3,32.6,0.684
38,52.4,33.7,0.719
40,52.1,33.9,0.706
42,52.2,34.0,0.701
44,51.9,34.2,0.685
46,52.0,34.6,0.693
48,52.2,35.0,0.683
50,52.4,35.8,0.699
52,52.3,36.0,0.678
54,52.4,36.4,0.682
56,52.4,36.8,0.681
58,52.3,37.3,0.693
60,52.3,38.2,0.704
62,52.2,38.0,0.681
64,52.1,38.7,0.691
66,52.4,39.2,0.691
68,52.5,40.0,0.712
70,52.2,39.8,0.675
72,52.4,40.6,0.693
74,52.4,40.9,0.693
76,52.2,41.3,0.701
78,51.9,41.3,0.685
80,52.3,42.1,0.706
82,52.1,42.1,0.668
84,51.8,42.5,0.680
86,51.6,42.8,0.689
88,51.4,43.3,0.683
90,51.5,43.4,0.654
92,51.6,44.3,0.659
94,51.4,44.5,0.659
96,51.5,45.3,0.660
98,51.5,45.6,0.664
100,51.5,46.5,0.670
102,51.7,46.9,0.675
104,51.6,47.4,0.668
106,51.6,48.0,0.676
108,51.4,48.3,0.666
110,51.4,48.6,0.663
112,51.3,49.2,0.669
114,51.3,49.8,0.656
116,51.2,50.1,0.645
118,51.2,50.9,0.671
120,51.0,51.2,0.653
122,50.9,51.2,0.637
124,50.8,52.3,0.656
126,50.8,53.0,0.653
128,50.6,53.3,0.655
130,50.3,53.5,0.632
