Diameter,Percent_Finer
2.6090,0.2545
2.6090,0.5089
2.6090,0.7634
2.6090,1.0178
2.6090,1.2723
2.6090,1.5267
2.6090,1.7812
2.6090,2.0356
2.6090,2.2901
2.6090,2.5445
2.7006,2.7990
2.7006,3.0534
2.7006,3.3079
2.7006,3.5623
2.7892,3.8168
2.7892,4.0712
2.7892,4.3257
2.7892,4.5802
2.7892,4.8346
2.7892,5.0891
2.7892,5.3435
2.7892,5.5980
2.8750,5.8524
2.8750,6.1069
2.8750,6.3613
2.8750,6.6158
2.8750,6.8702
2.8750,7.1247
2.8750,7.3791
2.8750,7.6336
2.8750,7.8880
2.8750,8.1425
2.9584,8.3969
2.9584,8.6514
2.9584,8.9059
2.9584,9.1603
2.9584,9.4148
2.9584,9.6692
3.0394,9.9237
3.0394,10.1781
3.0394,10.4326
3.0394,10.6870
3.0394,10.9415
3.0394,11.1959
3.0394,11.4504
3.0394,11.7048
3.1184,11.9593
3.1184,12.2137
3.1184,12.4682
3.1184,12.7226
3.1184,12.9771
3.1184,13.2316
3.1184,13.4860
3.1184,13.7405
3.1954,13.9949
3.1954,14.2494
3.1954,14.5038
3.2706,14.7583
3.2706,15.0127
3.2706,15.2672
3.2706,15.5216
3.2706,15.7761
3.2706,16.0305
3.2706,16.2850
3.2706,16.5394
3.3441,16.7939
3.3441,17.0483
3.3441,17.3028
3.3441,17.5573
3.3441,17.8117
3.4160,18.0662
3.4160,18.3206
3.4160,18.5751
3.4160,18.8295
3.4160,19.0840
3.4160,19.3384
3.4864,19.5929
3.4864,19.8473
3.4864,20.1018
3.4864,20.3562
3.5555,20.6107
3.5555,20.8651
3.5555,21.1196
3.5555,21.3740
3.5555,21.6285
3.5555,21.8830
3.5555,22.1374
3.6232,22.3919
3.6232,22.6463
3.6232,22.9008
3.6232,23.1552
3.6232,23.4097
3.6232,23.6641
3.6897,23.9186
3.6897,24.1730
3.6897,24.4275
3.7550,24.6819
3.7550,24.9364
3.7550,25.1908
3.7550,25.4453
3.7550,25.6997
3.8192,25.9542
3.8192,26.2087
3.8192,26.4631
3.8823,26.7176
3.8823,26.9720
3.8823,27.2265
3.9445,27.4809
3.9445,27.7354
4.0056,27.9898
4.0056,28.2443
4.0056,28.4987
4.0056,28.7532
4.0056,29.0076
4.0056,29.2621
4.0659,29.5165
4.0659,29.7710
4.0659,30.0254
4.0659,30.2799
4.0659,30.5344
4.1252,30.7888
4.1252,31.0433
4.1252,31.2977
4.1252,31.5522
4.1837,31.8066
4.1837,32.0611
4.2414,32.3155
4.2414,32.5700
4.2414,32.8244
4.2984,33.0789
4.2984,33.3333
4.3546,33.5878
4.3546,33.8422
4.3546,34.0967
4.4100,34.3511
4.4100,34.6056
4.4100,34.8601
4.4648,35.1145
4.5190,35.3690
4.5190,35.6234
4.5190,35.8779
4.5190,36.1323
4.5190,36.3868
4.5724,36.6412
4.5724,36.8957
4.5724,37.1501
4.5724,37.4046
4.5724,37.6590
4.6253,37.9135
4.6253,38.1679
4.6253,38.4224
4.6253,38.6768
4.6253,38.9313
4.6253,39.1858
4.6776,39.4402
4.7293,39.6947
4.7293,39.9491
4.7804,40.2036
4.7804,40.4580
4.8310,40.7125
4.8310,40.9669
4.8310,41.2214
4.8310,41.4758
4.8310,41.7303
4.8810,41.9847
4.8810,42.2392
4.9306,42.4936
4.9306,42.7481
4.9796,43.0025
5.0282,43.2570
5.0282,43.5115
5.0763,43.7659
5.1712,44.0204
5.1712,44.2748
5.1712,44.5293
5.2180,44.7837
5.3104,45.0382
5.4012,45.2926
5.4460,45.5471
5.4460,45.8015
5.4460,46.0560
5.4460,46.3104
5.5346,46.5649
5.5783,46.8193
5.5783,47.0738
5.5783,47.3282
5.5783,47.5827
5.5783,47.8372
5.6648,48.0916
5.6648,48.3461
5.7076,48.6005
5.7921,48.8550
5.8339,49.1094
5.8339,49.3639
5.9167,49.6183
5.9167,49.8728
5.9576,50.1272
5.9576,50.3817
5.9983,50.6361
6.0387,50.8906
6.0387,51.1450
6.1187,51.3995
6.1583,51.6539
6.1583,51.9084
6.1583,52.1628
6.1976,52.4173
6.2756,52.6718
6.2756,52.9262
6.3526,53.1807
6.3526,53.4351
6.4287,53.6896
6.4287,53.9440
6.5412,54.1985
6.6517,54.4529
6.6882,54.7074
6.7605,54.9618
6.7605,55.2163
6.8320,55.4707
6.8320,55.7252
6.9028,55.9796
6.9028,56.2341
6.9028,56.4885
6.9379,56.7430
