 ,Area,ECD
1,6.1099,2.7892
2,121.4350,12.4345
3,50.7889,8.0415
4,42.3877,7.3464
5,8.4012,3.2706
6,6.4918,2.8750
7,18.3298,4.8310
8,208.8835,16.3082
9,7.6374,3.1184
10,6.4918,2.8750
11,26.3491,5.7921
12,50.4070,8.0113
13,9.1649,3.4160
14,16.8023,4.6253
15,106.1602,11.6261
16,14.1292,4.2414
17,117.9982,12.2572
18,1147.9044,38.2303
19,9.9286,3.5555
20,82.8660,10.2717
21,8.4012,3.2706
22,21.0029,5.1712
23,9.5468,3.4864
24,73.7011,9.6871
25,129.4543,12.8385
26,7.2556,3.0394
27,2798.7330,59.6947
28,54.6076,8.3384
29,456.7178,24.1145
30,40.4783,7.1790
31,5.3462,2.6090
32,16.8023,4.6253
33,48.4976,7.8581
34,111.5063,11.9153
35,6.8737,2.9584
36,14.1292,4.2414
37,44.2970,7.5100
38,24.4397,5.5783
39,12.6017,4.0056
40,161.5315,14.3411
41,16.0386,4.5190
42,102.7233,11.4364
43,6.1099,2.7892
44,357.0494,21.3216
45,337.1921,20.7202
46,1080.3132,37.0877
47,25.2035,5.6648
48,507.1248,25.4105
49,40.8602,7.2128
50,66.8274,9.2243
51,138.6192,13.2852
52,104.6327,11.5422
53,48.4976,7.8581
54,12.6017,4.0056
55,7.6374,3.1184
56,190.1718,15.5607
57,58.8081,8.6531
58,18.3298,4.8310
59,24.4397,5.5783
60,46.2064,7.6702
61,37.4234,6.9028
62,46.2064,7.6702
63,11.4561,3.8192
64,1118.1184,37.7311
65,74.8467,9.7621
66,7.2556,3.0394
67,26.7310,5.8339
68,11.8380,3.8823
69,208.1197,16.2784
70,19.0936,4.9306
71,37.4234,6.9028
72,12.6017,4.0056
73,12.9836,4.0659
74,6.8737,2.9584
75,8.0193,3.1954
76,1402.6124,42.2595
77,13.3655,4.1252
78,61.8631,8.8751
79,119.1438,12.3166
80,207.3560,16.2485
81,14.5111,4.2984
82,10.3105,3.6232
83,98.9046,11.2218
84,119.9075,12.3560
85,28.6403,6.0387
86,7.6374,3.1184
87,75.6105,9.8117
88,6.8737,2.9584
89,39.7146,7.1110
90,19.8573,5.0282
91,12.9836,4.0659
92,106.9239,11.6679
93,171.0782,14.7588
94,561.7323,26.7436
95,100.0502,11.2866
96,44.6789,7.5423
97,17.1842,4.6776
98,27.8766,5.9576
99,94.7040,10.9809
100,29.7859,6.1583
101,234.4688,17.2782
102,16.4205,4.5724
103,8.0193,3.1954
104,10.3105,3.6232
105,5.3462,2.6090
106,9.5468,3.4864
107,33.6047,6.5412
108,10.3105,3.6232
109,8.4012,3.2706
110,100.8140,11.3296
111,42.3877,7.3464
112,23.2941,5.4460
113,29.4041,6.1187
114,14.1292,4.2414
115,6.4918,2.8750
116,67.5912,9.2768
117,240.5788,17.5018
118,55.7532,8.4254
119,1211.2950,39.2717
120,38.9508,7.0423
121,9.1649,3.4160
122,17.5661,4.7293
123,21.0029,5.1712
124,25.5854,5.7076
125,121.8169,12.4540
126,45.0608,7.5745
127,40.8602,7.2128
128,13.7474,4.1837
129,108.4514,11.7509
130,31.6953,6.3526
131,12.6017,4.0056
132,75.2286,9.7869
133,2434.0461,55.6698
134,37.8052,6.9379
135,70.6461,9.4842
136,291.3676,19.2609
137,23.2941,5.4460
138,40.8602,7.2128
139,5.7281,2.7006
140,16.4205,4.5724
141,85.9210,10.4593
142,41.6239,7.2799
143,8.4012,3.2706
144,81.7204,10.2005
145,8.7830,3.3441
146,14.8930,4.3546
147,98.5227,11.2001
148,454.8084,24.0641
149,73.3192,9.6619
150,8.0193,3.1954
151,478.4844,24.6825
152,260.8179,18.2232
153,1237.6441,39.6966
154,7.2556,3.0394
155,2048.3563,51.0691
156,5.7281,2.7006
157,11.0743,3.7550
158,43.1514,7.4123
159,51.5526,8.1018
160,125.2537,12.6285
161,27.4947,5.9167
162,90.8853,10.7573
163,17.9479,4.7804
164,6.4918,2.8750
165,932.1472,34.4506
166,6.8737,2.9584
167,35.1321,6.6882
168,77.1380,9.9104
169,46.9701,7.7333
170,61.0994,8.8201
171,6.4918,2.8750
172,8.7830,3.3441
173,27.8766,5.9576
174,51.1707,8.0717
175,40.8602,7.2128
176,2830.0464,60.0277
177,6.4918,2.8750
178,50.4070,8.0113
179,44.6789,7.5423
180,6.4918,2.8750
181,107.6876,11.7095
182,14.8930,4.3546
183,11.8380,3.8823
184,98.5227,11.2001
185,13.3655,4.1252
186,23.2941,5.4460
187,85.1572,10.4128
188,16.4205,4.5724
189,21.3848,5.2180
190,193.2268,15.6852
191,82.1023,10.2243
192,12.6017,4.0056
193,296.3319,19.4243
194,9.9286,3.5555
195,114.9432,12.0975
196,329.9366,20.4961
197,12.9836,4.0659
198,6.1099,2.7892
199,5.7281,2.7006
200,16.8023,4.6253
201,13.3655,4.1252
202,12.9836,4.0659
203,38.9508,7.0423
204,28.2585,5.9983
205,24.4397,5.5783
206,32.4590,6.4287
207,12.6017,4.0056
208,15.6567,4.4648
209,1181.5090,38.7859
210,36.6596,6.8320
211,18.3298,4.8310
212,77.1380,9.9104
213,43.9152,7.4776
214,100.0502,11.2866
215,13.7474,4.1837
216,16.0386,4.5190
217,219.1940,16.7059
218,7.6374,3.1184
219,158.0946,14.1878
220,28.6403,6.0387
221,9.1649,3.4160
222,6.4918,2.8750
223,17.5661,4.7293
224,80.5748,10.1287
225,7.6374,3.1184
226,6.1099,2.7892
227,11.4561,3.8192
228,12.2199,3.9445
229,6.4918,2.8750
230,48.1158,7.8271
231,16.8023,4.6253
232,250.8893,17.8729
233,6.8737,2.9584
234,246.3068,17.7090
235,56.8988,8.5115
236,113.0338,11.9966
237,9.5468,3.4864
238,50.0251,7.9808
239,127.5449,12.7434
240,35.8959,6.7605
241,75.6105,9.8117
242,38.5690,7.0077
243,37.8052,6.9379
244,232.9413,17.2218
245,842.7894,32.7578
246,50.7889,8.0415
247,19.4754,4.9796
248,43.9152,7.4776
249,9.1649,3.4160
250,39.3327,7.0767
251,17.9479,4.7804
252,6.4918,2.8750
253,30.1678,6.1976
254,62.2450,8.9024
255,142.8198,13.4849
256,10.3105,3.6232
257,27.4947,5.9167
258,16.4205,4.5724
259,40.4783,7.1790
260,15.2748,4.4100
261,7.2556,3.0394
262,7.6374,3.1184
263,69.8824,9.4328
264,10.3105,3.6232
265,37.8052,6.9379
266,92.4128,10.8473
267,7.6374,3.1184
268,135.1824,13.1194
269,7.2556,3.0394
270,18.7117,4.8810
271,112.2701,11.9560
272,50.7889,8.0415
273,14.8930,4.3546
274,12.2199,3.9445
275,8.4012,3.2706
276,8.7830,3.3441
277,18.7117,4.8810
278,25.2035,5.6648
279,11.0743,3.7550
280,10.6924,3.6897
281,23.2941,5.4460
282,138.6192,13.2852
283,59.9538,8.7370
284,19.0936,4.9306
285,112.2701,11.9560
286,11.0743,3.7550
287,170.6964,14.7424
288,6.1099,2.7892
289,1214.3500,39.3212
290,6.1099,2.7892
291,371.9424,21.7617
292,24.4397,5.5783
293,5.3462,2.6090
294,10.6924,3.6897
295,12.9836,4.0659
296,9.9286,3.5555
297,274.5653,18.6973
298,5.3462,2.6090
299,7.2556,3.0394
300,9.9286,3.5555
301,16.8023,4.6253
302,13.3655,4.1252
303,35.8959,6.7605
304,8.4012,3.2706
305,24.0579,5.5346
306,408.6020,22.8090
307,1197.1658,39.0420
308,16.4205,4.5724
309,19.8573,5.0282
310,21.0029,5.1712
311,163.4408,14.4256
312,53.8438,8.2799
313,9.1649,3.4160
314,37.4234,6.9028
315,7.2556,3.0394
316,16.0386,4.5190
317,5.3462,2.6090
318,9.9286,3.5555
319,211.5566,16.4123
320,11.4561,3.8192
321,209.2653,16.3231
322,10.6924,3.6897
323,7.6374,3.1184
324,72.5555,9.6115
325,8.7830,3.3441
326,50.7889,8.0415
327,6.1099,2.7892
328,6.1099,2.7892
329,130.5999,12.8952
330,30.9316,6.2756
331,148.5478,13.7527
332,102.3414,11.4151
333,801.5473,31.9462
334,98.5227,11.2001
335,24.4397,5.5783
336,615.1943,27.9873
337,71.0280,9.5098
338,11.8380,3.8823
339,9.1649,3.4160
340,63.3906,8.9840
341,34.7503,6.6517
342,32.4590,6.4287
343,22.1485,5.3104
344,9.9286,3.5555
345,22.9123,5.4012
346,11.0743,3.7550
347,1255.2102,39.9773
348,8.4012,3.2706
349,8.4012,3.2706
350,5.3462,2.6090
351,289.4583,19.1976
352,29.7859,6.1583
353,5.7281,2.7006
354,36.6596,6.8320
355,46.5883,7.7018
356,178.3338,15.0686
357,5.3462,2.6090
358,42.0058,7.3132
359,26.7310,5.8339
360,30.9316,6.2756
361,11.0743,3.7550
362,71.4099,9.5353
363,10.3105,3.6232
364,398.2915,22.5193
365,6.8737,2.9584
366,1281.5593,40.3947
367,8.7830,3.3441
368,16.0386,4.5190
369,31.6953,6.3526
370,29.7859,6.1583
371,5.3462,2.6090
372,290.2220,19.2230
373,15.2748,4.4100
374,9.5468,3.4864
375,5.3462,2.6090
376,234.4688,17.2782
377,5.3462,2.6090
378,18.3298,4.8310
379,9.9286,3.5555
380,91.6491,10.8024
381,204.3010,16.1284
382,51.9345,8.1317
383,14.5111,4.2984
384,18.3298,4.8310
385,16.0386,4.5190
386,77.1380,9.9104
387,16.8023,4.6253
388,7.2556,3.0394
389,271.8922,18.6060
390,15.2748,4.4100
391,752.2860,30.9490
392,45.4427,7.6065
393,20.2392,5.0763
